FSSLTDE2,FSSTDDE2,FSERNDED,RAWNET,FSASSET,TANF_IND,RAWERND,REALPROP,FSOTHUN,FSNONCIT,CERTHHSZ,FSSLTDED,FSTANF,FSTOTDED,FSNK0T4,FSCSEXP,FSNETINC,FSWAGES,FSERNDE2,TPOV,FSNELDER,WRK_POOR,FSUNEARN,FSUSIZE,FSDIS,FSGA,SHELDED,FSSSI,FSEARN,LIQRESOR,CAT_ELIG,VEHICLEA,FSVEHAST
104.0,201.0,0.0,150.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,104.0,389.0,238.0,0.0,0.0,151.0,0.0,0.0,35.0,0.0,0.0,389.0,2.0,0.0,0.0,104.0,0.0,0.0,0.0,1.0,1.0,0.0
85.0,208.0,258.0,807.0,403.0,0.0,258.0,0.0,0.0,0.0,4.0,85.0,0.0,482.0,2.0,0.0,808.0,1290.0,343.0,77.0,0.0,1.0,0.0,4.0,0.0,0.0,85.0,0.0,1290.0,403.0,2.0,1.0,0.0
417.0,142.0,222.0,495.0,0.0,0.0,223.0,0.0,0.0,0.0,3.0,417.0,0.0,773.0,0.0,0.0,495.0,1113.0,274.0,92.0,0.0,1.0,155.0,3.0,0.0,0.0,417.0,0.0,1113.0,0.0,2.0,1.0,0.0
387.0,170.0,162.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,1.0,417.0,0.0,842.0,0.0,0.0,0.0,812.0,212.0,99.0,0.0,1.0,0.0,1.0,0.0,0.0,417.0,0.0,812.0,0.0,2.0,1.0,0.0
228.0,201.0,117.0,547.0,0.0,0.0,118.0,0.0,0.0,0.0,1.0,228.0,0.0,492.0,0.0,0.0,549.0,589.0,175.0,127.0,0.0,1.0,452.0,1.0,1.0,0.0,229.0,95.0,589.0,0.0,1.0,1.0,0.0
0.0,134.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,389.0,134.0,0.0,0.0,255.0,0.0,0.0,28.0,0.0,0.0,389.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
417.0,139.0,170.0,125.0,0.0,0.0,170.0,0.0,0.0,2.0,4.0,417.0,0.0,726.0,0.0,0.0,126.0,852.0,170.0,51.0,0.0,1.0,0.0,4.0,0.0,0.0,417.0,0.0,852.0,0.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,417.0,120.0,611.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,170.0,3.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,417.0,0.0,579.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,417.0,0.0,0.0,0.0,2.0,1.0,0.0
114.0,201.0,103.0,278.0,0.0,1.0,103.0,0.0,0.0,0.0,2.0,114.0,114.0,351.0,1.0,0.0,279.0,516.0,154.0,57.0,0.0,1.0,114.0,2.0,0.0,0.0,115.0,0.0,516.0,0.0,1.0,1.0,0.0
0.0,134.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,97.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,231.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
163.0,201.0,183.0,573.0,0.0,1.0,183.0,0.0,0.0,0.0,2.0,163.0,310.0,652.0,1.0,0.0,574.0,916.0,274.0,111.0,0.0,1.0,310.0,2.0,0.0,0.0,164.0,0.0,916.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,417.0,0.0,551.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,417.0,0.0,0.0,0.0,2.0,1.0,0.0
0.0,134.0,203.0,678.0,0.0,0.0,203.0,0.0,0.0,0.0,2.0,0.0,0.0,337.0,1.0,0.0,678.0,1015.0,203.0,92.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1015.0,0.0,2.0,1.0,0.0
0.0,134.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,97.0,0.0,0.0,28.0,0.0,0.0,231.0,1.0,0.0,231.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
114.0,201.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,0.0,248.0,0.0,0.0,380.0,0.0,0.0,77.0,1.0,0.0,628.0,1.0,0.0,0.0,114.0,427.0,0.0,0.0,1.0,1.0,0.0
255.0,134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,322.0,389.0,456.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,389.0,3.0,0.0,0.0,322.0,0.0,0.0,0.0,1.0,1.0,0.0
52.0,191.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,0.0,191.0,0.0,0.0,308.0,0.0,0.0,30.0,0.0,0.0,499.0,4.0,1.0,0.0,52.0,0.0,0.0,0.0,2.0,1.0,0.0
