state,SHELDED,FSSLTDED,HWGT,CERTHHSZ,FSTOTDED,FSUNEARN,FSSTDDE2,TANF_IND,FSEARN,FSTANF,RAWERND,LIQRESOR,FSASSET,FSSLTDE2,WRK_POOR
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,729,729,3718,1,889,958,240,0,0,0,0,0,0,729,0
Connecticut,415,415,4002,1,646,500,240,0,357,0,71,0,0,415,1
Connecticut,423,423,3955,1,583,770,240,0,0,0,0,0,0,423,0
Connecticut,940,940,2483,3,1100,1237,240,1,0,487,0,0,0,940,0
Connecticut,535,535,3580,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,2622,3,920,0,160,0,1129,0,226,0,0,535,1
Connecticut,470,471,4746,1,631,1581,240,0,0,0,0,0,0,471,0
Connecticut,535,535,3580,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,513,513,3738,1,673,750,240,0,0,0,0,0,0,513,0
Connecticut,535,535,3580,1,695,400,0,0,0,0,0,0,0,240,0
Connecticut,393,393,3245,5,1035,0,298,0,2068,0,414,0,0,393,1
Connecticut,746,535,3580,1,695,85,0,0,0,0,0,0,0,0,0
Connecticut,535,535,1651,4,867,0,114,0,811,0,162,0,0,479,1
Connecticut,430,430,4017,4,1957,0,255,0,3153,0,631,0,0,430,1
Connecticut,1133,1133,3580,1,1293,750,0,0,0,0,0,0,0,590,0
Connecticut,289,289,5087,2,449,1758,240,0,0,0,0,0,0,289,0
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,696,697,3909,1,857,1023,240,0,0,0,0,0,0,697,0
Connecticut,0,0,2867,2,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,2206,3,695,90,0,0,0,0,0,0,0,0,0
Connecticut,621,621,3580,1,781,675,134,0,0,0,0,0,0,515,0
Connecticut,460,461,3465,3,852,332,240,0,1156,0,231,0,0,461,1
Connecticut,843,773,3580,1,933,770,77,0,0,0,0,0,0,610,0
Connecticut,253,254,2094,8,705,828,342,0,1119,0,224,0,0,254,1
Connecticut,279,279,4988,2,439,1512,240,0,0,0,0,0,0,279,0
Connecticut,157,156,4746,1,641,0,240,0,1629,0,326,0,0,156,1
Connecticut,602,602,3580,1,762,750,228,0,0,0,0,0,0,590,0
Connecticut,535,535,4311,1,960,0,192,0,1329,0,266,0,0,535,1
Connecticut,450,450,4746,1,610,1384,240,0,0,0,0,0,0,450,0
Connecticut,589,589,3626,1,749,770,240,0,0,0,0,0,0,589,0
Connecticut,535,535,3580,1,695,0,0,0,0,0,0,0,0,0,0
Connecticut,604,604,3580,1,764,750,226,0,0,0,0,0,0,590,0
Connecticut,561,561,3903,1,721,884,240,0,0,0,0,0,0,561,0
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,773,773,2867,2,933,770,77,0,0,0,0,0,0,610,0
Connecticut,535,535,4127,1,937,0,160,0,1213,0,243,0,0,535,1
Connecticut,759,535,3580,1,695,219,0,0,0,0,0,0,0,59,0
Connecticut,535,535,3490,4,1113,0,170,0,2043,0,409,0,0,535,1
Connecticut,384,384,3531,3,847,0,240,0,1517,0,304,0,0,384,1
Connecticut,0,0,3580,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3025,2,888,0,160,0,968,0,194,0,0,535,1
Connecticut,535,535,2206,3,695,0,0,0,0,0,0,0,0,0,0
